Kabupaten/Kota,IKAN,Ekor kuning,"Tongkol, tuna, cakalang, dencis, ikan kayu",Tongkol,Tuna,"Cakalang,dencis",Tenggiri,Selar,"Kembung, lema/tatare, banyar/banyara",Teri,Bandeng,Gabus,Mujair,"Mas, nila",Mas,Nila,Lele,Kakap,Baronang,Patin,Bawal,Gurame,Ikan segar/basah lainnya,"Udang, lobster","Cumi-cumi, sotong, gurita","Ketam, kepiting, rajungan","Kerang, siput, bekicot, remis",Udang dan hewan air lainnya yang segar lainnya,Kembung diawetkan/peda,Tenggiri diawetkan,Tongkol/tuna/cakalang diawetkan,Teri diawetkan,Selar diawetkan,Sepat diawetkan,Bandeng diawetkan,Gabus diawetkan,"Ikan dalam kaleng (sardencis, tuna dalam kaleng, dsb)",Ikan diawetkan lainnya,"Udang diawetkan (ebi, rebon)","Cumi-cumi, sotong, gurita diawetkan",ang dan hewan air lainnya yang diawetkan
Aceh Jaya,23240,799,-,3542,1685,2728,138,565,2191,519,992,547,416,-,5,600,318,212,-,-,71,10,848,3275,413,109,328,239,203,51,504,1026,102,2,10,20,268,102,323,60,22
Bener Meriah,18438,140,-,2696,332,861,8,166,1430,188,4750,185,3779,-,201,131,133,-,-,24,242,2,311,1118,217,-,-,71,103,5,106,393,103,29,25,15,133,424,33,16,69
Pidie Jaya,23735,668,-,5006,345,2215,216,292,2388,2015,2617,150,2233,-,20,1,20,73,20,28,-,8,267,2940,303,143,38,714,237,88,36,537,22,15,21,-,2,46,-,12,-
Kota Banda Aceh,27640,279,-,5535,2377,2720,115,174,1691,955,899,105,669,-,33,306,237,688,6,33,104,99,1145,5745,2243,129,-,114,41,29,173,703,18,-,12,9,10,129,62,50,6
Kota Sabang,23749,1665,-,6283,1117,1244,217,28,2443,555,32,48,566,-,31,200,43,1325,-,-,-,-,1569,3253,1073,134,67,28,66,55,203,960,42,6,-,-,78,219,140,59,1
Kota Langsa,16918,95,-,3543,621,1346,51,370,1210,282,961,63,497,-,1,138,140,513,-,3,73,52,1967,2955,900,132,4,27,32,43,13,318,28,1,16,6,139,318,26,27,7
Kota Lhokseumawe,21005,282,-,4873,732,1732,62,419,1443,1012,2766,90,599,-,101,13,68,510,5,-,235,8,462,3158,1124,45,193,48,171,30,104,371,28,3,61,5,32,148,54,14,-
Kota Subulussalam,17858,63,-,2937,434,3198,140,70,242,142,123,871,647,-,852,3005,502,26,-,63,-,-,490,718,347,83,-,46,129,77,193,1437,192,11,16,109,46,541,104,-,6
Nias,9961,100,-,3102,147,884,230,145,523,110,28,12,62,-,5,18,476,136,-,34,27,13,47,146,-,-,-,-,581,130,470,968,236,15,7,98,81,1124,6,-,-
Mandailing Natal,15960,112,-,2308,20,2134,246,6,1353,142,13,376,508,-,2431,765,714,24,-,18,14,14,630,337,185,-,-,70,364,137,371,1354,153,56,3,97,342,351,260,35,16
Tapanuli Selatan,15350,17,-,2054,42,2161,29,112,580,79,-,61,451,-,2852,837,492,-,-,13,-,-,272,151,211,-,-,71,101,53,737,1680,38,60,43,157,430,950,461,14,141
Tapanuli Tengah,18519,843,-,3392,177,1745,88,872,4696,315,13,94,87,-,242,270,277,34,445,-,10,0,1495,305,300,26,-,26,484,52,301,1269,84,17,19,3,-,513,19,-,5
